discharge,accumalted current ,SOC,,,charge ,accumalted current,SOC,,,,,,
-267.9,-52131.3,2.58837198,,,259,,,,,,,,
-226.4,-52357.7,2.59961297,,,249,,,,,,,,
-197.3,-52555,2.609409116,,,256.6,,,,,,,,
-200,-52755,2.619339319,,,255.4,,,,,,,,
-262.8,-53017.8,2.632387606,,,229,,,,,,,,
-272.1,-53289.9,2.645897647,,,222.3,,,,,,,,
-207,-53496.9,2.656175407,,,251.8,,,,,,,,
-263.2,-53760.1,2.669243554,,,251,,,,,,,,
-262.9,-54023,2.682296806,,,249.7,,,,,,,,
-264.2,-54287.2,2.695414605,,,248.5,,,,,,,,
-195.2,-54482.4,2.705106483,,,248,,,,,,,,
-270.6,-54753,2.718542048,,,256.8,,,,,,,,
-273.2,-55026.2,2.732106705,,,246.4,,,,,,,,
-278.8,-55305,2.745949408,,,249,,,,,,,,
-267.1,-55572.1,2.759211194,,,242.9,,,,,,,,
-264.3,-55836.4,2.772333958,,,274,,,,,,,,
-265.6,-56102,2.785521267,,,241.3,,,,,,,,
-261.6,-56363.6,2.798509973,,,240.3,,,,,,,,
-266.9,-56630.5,2.811761829,,,268.9,,,,,,,,
-207.7,-56838.2,2.822074345,,,237.3,,,,,,,,
-238.7,-57076.9,2.833926042,,,265.5,,,,,,,,
-252.2,-57329.1,2.846448028,,,235.3,,,,,,,,
-263.5,-57592.6,2.859531071,,,236.6,,,,,,,,
-195.9,-57788.5,2.869257705,,,263.3,,,,,,,,
-267.5,-58056,2.882539352,,,262.9,,,,,,,,
-213.4,-58269.4,2.893134878,,,254.3,,,,,,,,
-210.8,-58480.2,2.903601312,,,228.7,,,,,,,,
-267.5,-58747.7,2.916882959,,,259.8,,,,,,,,
-202.8,-58950.5,2.926952185,,,255.7,,,,,,,,
-211.4,-59161.9,2.937448409,,,256.7,,,,,,,,
-211.3,-59373.2,2.947939669,,,255.1,,,,,,,,
-281,-59654.2,2.961891604,,,254.7,,,,,,,,
-261.8,-59916,2.97489024,,,252.5,,,,,,,,
-267.5,-60183.5,2.988171887,,,235.1,,,,,,,,
-262.4,-60445.9,3.001200313,,,251,,,,,,,,
-262.9,-60708.8,3.014253565,,,250.1,,,,,,,,
-261.9,-60970.7,3.027257166,,,249.6,,,,,,,,
-269.7,-61240.4,3.040648045,,,248.5,,,,,,,,
-222.6,-61463,3.051700361,,,247.7,,,,,,,,
-335,-61798,3.068333451,,,246.2,,,,,,,,
-217.2,-62015.2,3.079117652,,,244.9,,,,,,,,
-196.2,-62211.4,3.088859181,,,245.3,,,,,,,,
-261.7,-62473.1,3.101852852,,,244.3,,,,,,,,
-262.8,-62735.9,3.114901139,,,242.6,,,,,,,,
-281.9,-63017.8,3.12889776,,,241.9,,,,,,,,
-263.2,-63281,3.141965907,,,240.1,,,,,,,,
-191.9,-63472.9,3.151493937,,,239.6,,,,,,,,
-268.9,-63741.8,3.164845095,,,246.6,,,,,,,,
-246.9,-63988.7,3.177103931,,,236.1,,,,,,,,
-268.8,-64257.5,3.190450124,,,238.7,,,,,,,,
-244.2,-64501.7,3.202574902,,,261,,,,,,,,
-263.4,-64765.1,3.215652979,,,266.1,,,,,,,,
-267.1,-65032.2,3.228914765,,,262.4,,,,,,,,
-230.3,-65262.5,3.240349394,,,240.6,,,,,,,,
-279.9,-65542.4,3.254246713,,,229.8,,,,,,,,
-261.4,-65803.8,3.267225489,,,254.1,,,,,,,,
-249.5,-66053.3,3.279613417,,,228.4,,,,,,,,
-261.8,-66315.1,3.292612053,,,258,,,,,,,,
-263.2,-66578.3,3.3056802,,,258.7,,,,,,,,
-206.3,-66784.6,3.315923205,,,255.7,,,,,,,,
-268.9,-67053.5,3.329274363,,,240.1,,,,,,,,
-278.6,-67332.1,3.343107136,,,253.9,,,,,,,,
-256.8,-67588.9,3.355857516,,,253.2,,,,,,,,
-217,-67805.9,3.366631787,,,223,,,,,,,,
-267.5,-68073.4,3.379913433,,,251.9,,,,,,,,
-266,-68339.4,3.393120604,,,250.5,,,,,,,,
-211.6,-68551,3.403626758,,,249.7,,,,,,,,
-261,-68812,3.416585673,,,248.3,,,,,,,,
-263.4,-69075.4,3.429663751,,,248.9,,,,,,,,
-265.4,-69340.8,3.44284113,,,277.9,,,,,,,,
-321.6,-69662.4,3.458808897,,,247.2,,,,,,,,
-278.9,-69941.3,3.472656565,,,245.4,,,,,,,,
-226.6,-70167.9,3.483907485,,,244.8,,,,,,,,
-273.7,-70441.6,3.497496968,,,244.9,,,,,,,,
-267.8,-70709.4,3.51079351,,,259.2,,,,,,,,
-221,-70930.4,3.521766385,,,242.6,,,,,,,,
-207.4,-71137.8,3.532064005,,,239.3,,,,,,,,
-321.1,-71458.9,3.548006946,,,240.6,,,,,,,,
-278.6,-71737.5,3.561839719,,,262.4,,,,,,,,
-262.8,-72000.3,3.574888006,,,268.4,,,,,,,,
-270.5,-72270.8,3.588318606,,,251.9,,,,,,,,
-208.9,-72479.7,3.598690703,,,261.1,,,,,,,,
-266.3,-72746,3.611912768,,,236.4,,,,,,,,
-238.9,-72984.9,3.623774396,,,235,,,,,,,,
-268.1,-73253,3.637085833,,,264,,,,,,,,
-233.8,-73486.8,3.64869424,,,233.4,,,,,,,,
-206.4,-73693.2,3.65894221,,,238.7,,,,,,,,
-198.3,-73891.5,3.668788006,,,233.1,,,,,,,,
-266.1,-74157.6,3.682000142,,,259.9,,,,,,,,
-249.3,-74406.9,3.69437814,,,246.2,,,,,,,,
-190.1,-74597,3.703816798,,,230.1,,,,,,,,
-268.4,-74865.4,3.71714313,,,258.1,,,,,,,,
-209.7,-75075.1,3.727554948,,,256.3,,,,,,,,
-263.1,-75338.2,3.74061813,,,231.1,,,,,,,,
-228.7,-75566.9,3.751973318,,,255.6,,,,,,,,
-206.3,-75773.2,3.762216322,,,254.7,,,,,,,,
-268.5,-76041.7,3.77554762,,,243.7,,,,,,,,
-261.5,-76303.2,3.78853136,,,255.8,,,,,,,,
-210.5,-76513.7,3.798982899,,,240.1,,,,,,,,
-261.7,-76775.4,3.81197657,,,220.6,,,,,,,,
-202.4,-76977.8,3.822025935,,,251.3,,,,,,,,
-194.3,-77172.1,3.831673128,,,250.4,,,,,,,,
-260.5,-77432.6,3.844607217,,,249,,,,,,,,
-190.3,-77622.9,3.854055805,,,248.6,,,,,,,,
-206.7,-77829.6,3.86431867,,,247.6,,,,,,,,
-260.2,-78089.8,3.877237864,,,243.2,,,,,,,,
-262,-78351.8,3.89024643,,,245.2,,,,,,,,
-205.8,-78557.6,3.900464609,,,259.1,,,,,,,,
-268.3,-78825.9,3.913785977,,,243.9,,,,,,,,
-205.1,-79031,3.9239694,,,254.3,,,,,,,,
-263.7,-79294.7,3.937062373,,,270.6,,,,,,,,
-196.3,-79491,3.946808867,,,249.6,,,,,,,,
-264.7,-79755.7,3.959951491,,,268.4,,,,,,,,
-216.7,-79972.4,3.970710866,,,239.5,,,,,,,,
-191.4,-80163.8,3.98021407,,,237.1,,,,,,,,
-269.7,-80433.5,3.993604949,,,239,,,,,,,,
-267.8,-80701.3,4.006901491,,,238.1,,,,,,,,
-188.9,-80890.2,4.016280568,,,265.3,,,,,,,,
-307.7,-81197.9,4.031558185,,,251,,,,,,,,
-261.8,-81459.7,4.044556821,,,263.9,,,,,,,,
-331,-81790.7,4.060991307,,,233.9,,,,,,,,
-265.4,-82056.1,4.074168687,,,261.6,,,,,,,,
-261.5,-82317.6,4.087152427,,,262.3,,,,,,,,
-253.2,-82570.8,4.099724064,,,260.8,,,,,,,,
-207.3,-82778.1,4.11001672,,,260.8,,,,,,,,
-249,-83027.1,4.122379823,,,245,,,,,,,,
-249.5,-83276.6,4.134767751,,,260.4,,,,,,,,
-261.5,-83538.1,4.147751492,,,258.5,,,,,,,,
-260.2,-83798.3,4.160670686,,,257.1,,,,,,,,
-206.6,-84004.9,4.170928586,,,228.7,,,,,,,,
-328.3,-84333.2,4.187229014,,,247.6,,,,,,,,
-260,-84593.2,4.200138278,,,257.8,,,,,,,,
-248.4,-84841.6,4.21247159,,,252.2,,,,,,,,
-259.6,-85101.2,4.225360994,,,255.4,,,,,,,,
-266.4,-85367.6,4.238588024,,,253.2,,,,,,,,
-276.9,-85644.5,4.252336391,,,252.3,,,,,,,,
-263.8,-85908.3,4.265434328,,,222.5,,,,,,,,
-261,-86169.3,4.278393243,,,250.9,,,,,,,,
-267.4,-86436.7,4.291669925,,,249.7,,,,,,,,
-277.1,-86713.8,4.305428221,,,249.6,,,,,,,,
-261.4,-86975.2,4.318406997,,,248.5,,,,,,,,
-189.4,-87164.6,4.327810899,,,247.7,,,,,,,,
-210.3,-87374.9,4.338252508,,,247.7,,,,,,,,
-331.8,-87706.7,4.354726715,,,245,,,,,,,,
-259.2,-87965.9,4.367596258,,,246,,,,,,,,
-188,-88153.9,4.376930649,,,247.9,,,,,,,,
-225.1,-88379,4.388107092,,,245,,,,,,,,
-266.1,-88645.1,4.401319227,,,251.9,,,,,,,,
-247.4,-88892.5,4.413602889,,,274.4,,,,,,,,
-236.9,-89129.4,4.425365214,,,242.2,,,,,,,,
-265.2,-89394.6,4.438532664,,,260,,,,,,,,
-250,-89644.6,4.450945417,,,241.8,,,,,,,,
-326,-89970.6,4.467131648,,,241.4,,,,,,,,
-264.2,-90234.8,4.480249447,,,260,,,,,,,,
